,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,серии Wind-Free Mass (Geo),,,,,,,,,,,,, ,,,
,,AR09BSFAMWKNER,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,8,OPT 62,3980
,,AR12BSFAMWKNER,да,да,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,20,8,OPT 62,4210
,,AR18BSFAMWKNER,да,да,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,10,OPT 75,5760
,,AR24BSFAMWKNER,да,да,"3/8"" (9,53мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,25,10,OPT 102,6560
,,,,,,,,,,,,,,,,,
MHI,,,,,,,,,,,,,,,,,
,Настенные сплит-системы Premium ,,,,,,,,,,,,,,,,
,"Белый, Титаниум и Контраст",SRK20ZS-W / SRC20ZS-W,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,25,15,OPT 62,5180
,,SRK25ZS-W / SRC25ZS-W2,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),5  лет,Наружный блок,25,15,OPT 62,5830
,,SRK35ZS-W / SRC35ZS-W2,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),5  лет,Наружный блок,25,15,OPT 75,6650
,,SRK50ZS-W / SRC50ZS-W,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),5  лет,Наружный блок,30,20,OPT 102,9210
,,,,,,,,,,,,,,,,,
TOSHIBA,,,,,,,,,,,,,,,,,
,HAORI,RAS-B10N4KVRG-E/ RAS-10J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,6480
,,RAS-13N4KVRG-EE/RAS-13N4AVRG-EE,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,7250
,,RAS-B16N4KVRG-E/RAS-RAS-16J2AVSG-E1,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),3  года,Наружный блок,20,12,OPT 75,8280
,,,,,,,,,,,,,,,,,
,SHORAI EDGE,,,,,,,,,,,,,,,,
,,RAS-B07G3KVSG-EE/RAS-07J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,5100
,,RAS-B10G3KVSG-E/RAS-10J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),3  года,Наружный блок,20,12,OPT 62,5450
,,RAS-B13G3KVSG-EE/RAS-13J2AVSG-E1,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),3  года,Наружный блок,20,12,OPT 75,6050
